time,stock_name,flag,positive,negative,into,inth,intl,intc,v,STX,ImpulseHisto,psi,smooth_velocity,macd,b5
2016-06-01,TEST_TICKER,1,1,0,42.360303981118214,42.521854631281805,42.15836438451308,42.292991638183594,5284400,down,0.026375318854340968,36.65191587655835,0.05330717754042482,0.14801291493611757,0.14801291493611757
2016-06-02,TEST_TICKER,1,1,0,42.319903899513264,43.85465007905452,42.29298051010424,43.81425857543945,11628000,up,0.14752407292765768,37.866402605222305,0.11047307494786086,0.2894720633700345,0.2894720633700345
2016-06-03,TEST_TICKER,0,0,0,43.59213816845619,44.00275012046555,42.91227171971247,43.75368881225586,10621600,up,0.24647213796394607,37.533992167516345,0.13895548269374486,0.4819167619693232,0.4819167619693232
2016-06-06,TEST_TICKER,0,0,0,41.8217935975602,42.400688936391234,41.64677741392238,42.2862548828125,16403400,up,0.20202515228921425,36.15132049662243,0.10616536098866555,0.6057971234483333,0.6057971234483333
2016-06-07,TEST_TICKER,0,0,0,42.13144198818578,42.80457574574248,41.93623258222197,42.47473907470703,10980100,up,0.16663249190946683,32.80510740850364,0.09315204626825947,0.6972749764037616,0.6057971234483333
2016-06-08,TEST_TICKER,0,0,0,41.87563982431452,41.93622194984688,41.31020750861273,41.55253601074219,13173000,up,0.06695200548165459,31.685785141984883,0.05325223113459922,0.7129086255716359,0.6972749764037616
2016-06-09,TEST_TICKER,0,0,0,41.39771054114824,41.84870875677584,40.738040014644874,40.892860412597656,11503700,up,-0.06465153782934552,28.543654422802888,0.007775021420656435,0.6221401844118972,0.7129086255716359
2016-06-10,TEST_TICKER,0,0,0,40.38129329411924,41.06788743398015,40.19954688022615,41.0611572265625,11052300,up,-0.19087548407557464,34.42596531122697,-0.01395569238909123,0.4298100283486548,0.4298100283486548
2016-06-13,TEST_TICKER,1,1,0,40.69766043899787,41.323674947786195,40.28704849583552,40.34090042114258,11673600,down,-0.30773215827402733,35.71929766189031,-0.051413118127114174,0.22734152695726095,0.22734152695726095
2016-06-14,TEST_TICKER,0,0,0,40.024521186919245,40.643805402413385,39.82258163083665,40.320701599121094,11560200,down,-0.416184899005833,49.51140797646546,-0.0734065681227623,-0.05286262618172799,-0.05286262618172799
2016-06-15,TEST_TICKER,0,0,0,40.583223420860286,41.2428940091995,40.39474427576281,40.65726852416992,7739300,down,-0.45115683429428,51.93812954300207,-0.07470185981489956,-0.30336085477580355,-0.30336085477580355
2016-06-16,TEST_TICKER,0,0,0,40.34089881841522,41.020762657698754,40.327435837623334,40.993839263916016,7011200,down,-0.4487038480855101,56.09125550514403,-0.06438951722737694,-0.5228932962594754,-0.5228932962594754
2016-06-17,TEST_TICKER,0,0,0,40.98037293453643,41.040955059249114,40.098567023229755,40.394744873046875,12574700,down,-0.4601522406251055,54.56767897270037,-0.07750620712180793,-0.6801989501262469,-0.6801989501262469
2016-06-20,TEST_TICKER,1,1,0,40.81882283724056,41.18231561304393,40.428406667815494,40.46206283569336,7076500,down,-0.43782155116021126,64.47489928048397,-0.08139596611749521,-0.7897294130777439,-0.6801989501262469
2016-06-21,TEST_TICKER,1,1,0,40.5226477252283,40.657274973711026,40.21973705809248,40.37455749511719,6366500,down,-0.4212769838631374,77.17126895776488,-0.08560907367289305,-0.8729713323461041,-0.7897294130777439
2016-06-22,TEST_TICKER,0,0,0,40.38801769403032,41.182315580770336,40.33416577122713,40.65053939819336,6718600,down,-0.3832403564211988,79.83108421462083,-0.07797365775636975,-0.9406269895277859,-0.8729713323461041
2016-06-23,TEST_TICKER,0,0,0,40.966910539108696,41.27655137303366,40.80535734830388,41.26982116699219,5328200,down,-0.3106606917301096,76.9026389327532,-0.05220444420156904,-0.9878016387442443,-0.9406269895277859
2016-06-24,TEST_TICKER,0,0,0,39.88989199109477,40.79189102701709,39.83604264377138,40.29377365112305,9878500,down,-0.3173456376709404,71.45272221439467,-0.06834677983075078,-0.9925341688161353,-0.9878016387442443
2016-06-27,TEST_TICKER,0,0,0,39.9706752508095,40.17261482413963,39.263885460253555,39.499481201171875,7945500,down,-0.3719598447731206,63.09171999634654,-0.10076237499293432,-1.001801986918764,-0.9925341688161353
2016-06-28,TEST_TICKER,0,0,0,39.90335980377413,40.4755249161762,39.81585428279812,40.38128662109375,9897600,down,-0.36079835406600347,61.215737408485246,-0.08768220342727871,-1.0613668242136498,-1.001801986918764
2016-06-29,TEST_TICKER,0,0,0,40.77843034629344,41.75447190735396,40.542832070885225,41.60638427734375,9308000,down,-0.27165711005138365,60.43717006372748,-0.03874596692390288,-1.0524847063151626,-1.0613668242136498
2016-06-30,TEST_TICKER,0,0,0,41.592930732016406,41.74775117038651,41.15539281259565,41.6737060546875,7920600,down,-0.1761588720276358,52.892361675771504,-0.007200224758660641,-0.9405691649569334,-0.9405691649569334
2016-07-01,TEST_TICKER,0,0,0,41.720820570199315,42.55550737104069,41.61985207003201,42.21220779418945,6533700,down,-0.059673564255520395,49.221040312237704,0.03157809087024949,-0.7531022284896665,-0.7531022284896665
2016-07-05,TEST_TICKER,0,0,0,42.07085008732158,42.21220752734276,41.57946286643777,41.6804313659668,6293600,down,0.00883457786715286,45.223065705163506,0.03858163175185053,-0.5004734333378238,-0.5004734333378238
2016-07-06,TEST_TICKER,1,1,0,41.626588936791386,42.91900443389474,41.59966297198473,42.6564826965332,9202200,up,0.09759233239592091,41.70884993290382,0.07656288855554864,-0.26623138922238354,-0.26623138922238354
2016-07-07,TEST_TICKER,0,0,0,42.811300387847744,42.912271465475214,42.54877866737773,42.696868896484375,7081900,up,0.1988404747010269,38.75715817488924,0.09948344593906698,-0.012995730611429224,-0.012995730611429224
2016-07-08,TEST_TICKER,0,0,0,42.73051412897019,43.4036501945197,42.23239677860422,43.18824768066406,7921700,up,0.2758902728995041,31.61155197254299,0.1284724024647664,0.23295631917837056,0.23295631917837056
2016-07-11,TEST_TICKER,0,0,0,43.24883451659099,43.74695195087581,43.12767026115935,43.31614685058594,9641500,up,0.35004562494502917,33.64185429133645,0.14755624216642332,0.49406775780961,0.49406775780961
2016-07-12,TEST_TICKER,1,0,1,43.53154978783755,44.298921700527906,43.295954048959274,44.09025192260742,11870500,up,0.42202422343758644,26.520713768288545,0.18174253942000063,0.730537364835186,0.730537364835186
